2020-10-1413:46:12站机接收<<串口外电网1-76|01038C03E2035E065F17D713861386138659A65999595B4DB74D754D3F177F17771758094809340958014C0148014E0119011F01250220021B022217DD17C117E8000000000000598900ED022802A700C800FC597A00E30263021F00BB00BC594500BE0276026500B100A3076E005B04A4000000340067077B0065049A00000039006607A10065049200000037005C88D5
2020-10-1413:46:18站机接收<<串口外电网1-76|01038C03EE0362066A17F31386137B138659AB598A59534D994D854D581774177A175F0957094A0961014F014D0150011B0120012602240220022417F017F017F9000000000000598900EE023A02A700A000FE597500BD02550258009A00C8594100B9026D0278009500A80774005A04A20000003800690782006204980000003B006407A2005C048F000000
2020-10-1413:46:18站机接收<<串口外电网1-76|36005AC000
2020-10-1413:46:18站机接收<<串口外电网1-76|02038C0000000000002710137B1386137B58F7590D58DF4D1B4CE04D0117791762177300030001000100000000000000000000000000000000000027102710271000000000000058E600B700FB00760084011259070120019B00C4005E00F458D30072010D004E007601020001000000
2020-10-1413:46:18站机接收<<串口外电网1-76|00000000000000000000000000000000000000000000000000000000000000A846
2020-10-1413:46:19站机接收<<串口外电网1-76|01038C03D80351064E17D71386137B138659AC598D595D4DB34D684D5417841771175809320919093D01490143014B0115011C0120021B0215021C17E517AB17F6000000000000598000EB024502A6009E00F8596D00C502720242009C00C6592700C60296026B009900A90772005C04A300000036006B077D006D04A200000038006A079E00670498000000
2020-10-1413:46:19站机接收<<串口外电网1-76|340061B434
2020-10-1413:46:19站机接收<<串口外电网1-76|02038C0000000000002710137B1386137B58F3591058D54D2D4CD44CF21780175B177300030001000100000000000000000000000000000000000027102710271000000000000058EB00B600F5007A009701135907011F019B00BF005E00F658CF0079010C004D0074010900010000000000000000000000000000000000
2020-10-1413:46:20站机接收<<串口外电网1-76|0000000000000000000000000000000000BABF
2020-10-1413:46:20站机接收<<串口外电网1-76|01038C03D10351064A17BF1386137B138659AB5991595B4DBA4D734D4E17841770175A092C091209370147014001490114011C0120021A0214021B17CD178D17E4000000000000597C00ED024E02A400BB00FF597C00B40267020A009200AB592D00C502920271009E0096076E005D04
2020-10-1413:46:20站机接收<<串口外电网1-76|A300000038006A0775007104A30000003900660796006A049800000033005F3DE5
2020-10-1413:46:21站机接收<<串口外电网1-76|02038C0000000000002710137B1386137B58EA590B58CC4D164CD04CF4177B175E177500030001000100000000000000000000000000000000000027102710271000000000000058ED00B800F4006D0096011159020118019D00BB005900F558C800760109004D0074010A0001000000
2020-10-1413:46:21站机接收<<串口外电网1-76|000000000000000000000000000000000000000000000000000000000000008C88
2020-10-1413:46:21站机接收<<串口外电网1-76|01038C03E00358065917DD1386137B138659A9598D595A4DB54D724D43178117761757093E0930094C014B0148014C0116011E0123021E021A022017E117CA17ED000000000000597D00E9024E02AA00C40102597900B8026F020700AD00A7592700C902A0026400A3009F076D005D04
2020-10-1413:46:21站机接收<<串口外电网1-76|A400000037006A0773007404A400000038006B0797006C049C000000330062FA7D
2020-10-1413:46:22站机接收<<串口外电网1-76|01100000000241C8
2020-10-1413:46:22站机接收<<串口外电网1-76|02100000000241FB
2020-10-1413:46:23站机接收<<串口外电网1-76|02038C0000000000002710137B1386137B58DB590858B74D0F4CC64CE5177D175D177400030001000100000000000000000000000000000000000027102710271000000000000058E600B900F100700096011058FE011B019A00B5005800F058BB0079010400410079011300010000000000000000000000000000000000
2020-10-1413:46:23站机接收<<串口外电网1-76|000000000000000000000000000000000029E0
2020-10-1413:46:23站机接收<<串口外电网1-76|01038C03D40351064B17CB1386137B137C599C598E59584D844D8F4D57176F177E1761092F091709380148014201490115011C0120021B0215021B17D617A617E6000000000000597200EA024902AD00DA010B597C00C4027D01F400BA0094591C00D302A7025B00A3009407610060049F0000003A006D0760007F04AC00
2020-10-1413:46:23站机接收<<串口外电网1-76|000036006E0789007604A100000034006624A2
2020-10-1413:46:24站机接收<<串口外电网1-76|02038C0000000000002710137C137B137B58CF5900589D4D104CB44CD5177E175B177500030001000100000000000000000000000000000000000027102710271000000000000058E200B700F5006E0097011058F50118019A00B7004C00F258B2007601030042007801100000000000
2020-10-1413:46:24站机接收<<串口外电网1-76|0000000000000000000000000000000000000000000000000000000000000036CA
2020-10-1413:46:25站机接收<<串口外电网1-76|01038C03DF0359065917D8137B1386137B5993598D594C4DA34D6A4D4B177C1773175F0944092C094A014C0146014D0117011F0122021F021A021F17E517B117F5000000000000597200E9024402AB00F700FE597B00BB0265020600A90094592600C1028B0265009C00970761005E049D00000039006B0762007504A200
2020-10-1413:46:25站机接收<<串口外电网1-76|0000370069078B006F049A00000036006033BE
2020-10-1413:46:25站机接收<<串口外电网1-76|02038C00000000000027101386137B138058D65908589A4D1C4CB34CCD1780175A177400030001000100000000000000000000000000000000000027102710271000000000000058D900B900F5006D0091011458F1011C019B00B6005000F358AD00740101003F007A010F0000000000
2020-10-1413:46:25站机接收<<串口外电网1-76|000000000000000000000000000000000000000000000000000000000000005693
2020-10-1413:46:26站机接收<<串口外电网1-76|01038C03D80352064F17D2137B1386137B5997599E594A4D914D834D3E1773177C175F0936091D093E01490143014B0115011D0120021C0217021C17DB17A817F5000000000000597600E2023C02BE00EF0100597500B8025F021300A500A4591900C5028C026B009E00A00765005D049F0000003B0067076F0076049F00000039006C0791006B0497000000
2020-10-1413:46:26站机接收<<串口外电网1-76|35005F259E
2020-10-1413:46:26站机接收<<串口外电网1-76|02038C00000000000027101386137B138658E4590B589D4D1E4CC54CCC177E1761177000030001000100000000000000000000000000000000000027102710271000000000000058D700BD00FA0067008F011158F10124019A00B1005400F358A300770101004200740108000000000000000000000000000000000000000000000000000000000000000000
2020-10-1413:46:26站机接收<<串口外电网1-76|00000041A2
2020-10-1413:46:27站机接收<<串口外电网1-76|01038C03D8034A064817EA137B1386137B5998599B59474DB34D6F4D4317811771175D0929092209290147014A014701140119011D02190217021717CD181317DE000000000000597000E8023902B500F200F1596C00B80259021D009400AA591E00BE0275026E009F00A40765005A049C000000380068076D006E049A0000003C006A078F0068049200000033005B7E73
2020-10-1413:46:27站机接收<<串口外电网1-76|02038C00000000000027101386137B138658E558FD589E4D1E4CB54CDC1780175A177400030000000100000000000000000000000000000000000027102710271000000000000058D600BA00FA00660093011458EE0124019800BF005200F2589C007B01000049006B01070001000000
2020-10-1413:46:27站机接收<<串口外电网1-76|00000000000000000000000000000000000000000000000000000000000000A5E6
2020-10-1413:46:28站机接收<<串口外电网1-76|01100000000241C8
2020-10-1413:46:28站机接收<<串口外电网1-76|02100000000241FB
2020-10-1413:46:29站机接收<<串口外电网1-76|01038C03E2035F065F17D0137B1386137B59965996593D4D954D704D4D177617731766094E09320956014E0145014E0118012101240222021B022117EB179717F0000000000000597500E1024302B400ED00F8597E00AB0245022D00950098592D00B90265027900A6009A0766005A04
2020-10-1413:46:29站机接收<<串口外电网1-76|A0000000390066076E006804940000003C0062078D0064048F00000035005914E9
2020-10-1413:46:30站机接收<<串口外电网1-76|02038C00000000000027101386137B138658F8590058B54D254CC34CE41781175E176F00030001000100000000000000000000000000000000000027102710271000000000000058D400BE00F900700099010658F1012C019800B8005400ED589B007A010000440074010600010000000000000000000000000000000000
2020-10-1413:46:30站机接收<<串口外电网1-76|000000000000000000000000000000000091BB
2020-10-1413:46:30站机接收<<串口外电网1-76|01038C03E0035A065A17DA137B1386137B59A3599159434DA44D794D4C17781777175F0948092B094D014D0144014E01180120012202200219021F17EF179E1802000000000000597500E6023F02A900D400F9597500B90256021A00A000A4592600B0026A0275009A009E0769005A04A000000039006A07710069049600
2020-10-1413:46:30站机接收<<串口外电网1-76|00003B006607900065049000000035005D3ECC
2020-10-1413:46:31站机接收<<串口外电网1-76|02038C00000000000027101386137B138658FF590858BF4D2F4CC04CE917831759177200030001000100000000000000000000000000000000000027102710271000000000000058D900BF00F7006C009E010458F3012A019800B3005400E9589C007E0103004300720107000100000000000000000000000000000000000000000000000000000000000000
2020-10-1413:46:31站机接收<<串口外电网1-76|0000004EB9
2020-10-1413:46:31站机接收<<串口外电网1-76|01038C03D50352064C17C7137B1386137B59AE599059514DA54D804D4B1778177D175909300915093B01490141014A0114011D0120021B0214021C17DC178F17EB000000000000598000F0023702A200CD0109597400CA025A020C009A00A9593400
2020-10-1413:46:31站机接收<<串口外电网1-76|AD02610272009A00950769005A04A10000003B00690770006904970000003B006407900062048C00000035005B1170
2020-10-1413:46:32站机接收<<串口外电网1-76|02038C00000000000027101386137B138658F5590658BA4D244CC14CF2177F175A177400030001000100000000000000000000000000000000000027102710271000000000000058E100BD00F30069009A010758F40125019900A1005200E9589C00800106003C0073011000000000000000000000000000000000000000
2020-10-1413:46:32站机接收<<串口外电网1-76|000000000000000000000000000000000088F5
2020-10-1413:46:32站机接收<<串口外电网1-76|01038C03DD034E064F17F2137B1386137B59A45976594C4D964D5F4D49177B1774175F0933092909360149014A01490114011A011F021B0218021A17DA181617E8000000000000597900D0024C029B00DF010C599700B9023702100096009E592100C40275026F00A900940769005E04A40000003F006507770064049200
2020-10-1413:46:32站机接收<<串口外电网1-76|00003D0061078F00650491000000390058E9ED
2020-10-1413:46:33站机接收<<串口外电网1-76|02038C00000000000027101386137B138658EB590D58B04D214CC64CE7177F175D177200040000000000000000000000000000000000000000000027102710271000000000000058E800C200FB006F00A000F458F70124019700A0004B00E458A8006E01000034007701050000000000
2020-10-1413:46:33站机接收<<串口外电网1-76|000000000000000000000000000000000000000000000000000000000000000915
2020-10-1413:46:33站机接收<<串口外电网1-76|01038C03DE0357065617DC137B1386137B599C597B59474DA44D604D4F177C177017620942092A0945014C0145014C0117011F0121021F0219021D17EA17B817F3000000000000596400D30257028E00F400E5598200A8024F022700A2009F591600D30273025100B5009A076F005D04A20000003A006C07750062049400
2020-10-1413:46:34站机接收<<串口外电网1-76|00003B006207920069049900000038005C33EF
2020-10-1413:46:34站机接收<<串口外电网1-76|01100000000241C8
2020-10-1413:46:35站机接收<<串口外电网1-76|02100000000241FB
2020-10-1413:46:35站机接收<<串口外电网1-76|02038C0000000000002710137B137B137E58EE590D58984D2B4CA64CDB17851756177300040001000100000000000000000000000000000000000027102710271000000000000058EE00C100FF006400AA00EE58F5011D019800BE004B00E158A9006900FE003D007900F700010000000000000000000000000000000000
2020-10-1413:46:35站机接收<<串口外电网1-76|000000000000000000000000000000000021E9
2020-10-1413:46:36站机接收<<串口外电网1-76|01038C03D40351064A17C8137B137B137B598B599159364D9C4D5A4D3E177D176E17620930091D09320148014201480114011E011E021A0216021917DA179917E6000000000000594E00D7026D028300F400BA597800A6024C024500AB009B590F00E9026E023F00B700970767005E049B00000038006F0769005C049300000039005E0788006C049D00000034005D2583
2020-10-1413:46:36站机接收<<串口外电网1-76|02038C0000000000002710137B137B137B58F458FA58914D244CA74CDF17811757177600030000000100000000000000000000000000000000000027102710271000000000000058EC00C20109007300AA00DD58EF0120019400BB004400DF58A700
2020-10-1413:46:36站机接收<<串口外电网1-76|5D00F7003F007E00E40001000000000000000000000000000000000000000000000000000000000000000000005C36
2020-10-1413:46:37站机接收<<串口外电网1-76|01038C03DD0352065117E7137B137B137B598D599659354D904D724D3C1774177917610936092D093A0149014B01480115011A0121021C021A021B17DC180617D3000000000000594200DC027B027C00FE00A6597500B30250025700BD0096590B00FC026C023500AF00970766005D04
2020-10-1413:46:37站机接收<<串口外电网1-76|9A0000003500720767005A049200000038005C0784006F049D00000035005CC7B9
2020-10-1413:46:37站机接收<<串口外电网1-76|02038C0000000000002710137B137B137B58FB58E9589D4D1F4CA74CE01780175B177300040001000100000000000000000000000000000000000027102710271000000000000058E800C30108007200A400DD58EB0123019500BC004400DD58A3005E00FA003F007E00E1000100000000000000000000000000000000000000000000000000000000000000
2020-10-1413:46:38站机接收<<串口外电网1-76|0000009674
2020-10-1413:46:38站机接收<<串口外电网1-76|01038C03E20359065917E9137B137B137B5994599359344D894D784D391772177E175D09420932094E014C0148014D0117011E0123021F021B021F17F317D217F6000000000000594B00D10273029100F200BC598900AC0240026400B3009B590A00E50272025B00A5009A0767005E04
2020-10-1413:46:38站机接收<<串口外电网1-76|9C00000039006D076B005C04930000003B005E0788006D049600000033005B0067
2020-10-1413:46:39站机接收<<串口外电网1-76|02038C0000000000002710137B137B137B58FA58E558A64D244C974CDF17861755177200030001000100000000000000000000000000000000000027102710271000000000000058EA00C50101007100A200E658E80129019A00BD004D00DC5895006D01010042008000F00001000000000000000000000000000000000000000000000000000000000000000000005744
2020-10-1413:46:39站机接收<<串口外电网1-76|01038C03D4034E064717D2137B137B137B59A2597959424D8A4D6D4D471774177C175E092D090F0935014A014001490113011B011F021A0212021A17F1179317F5000000000000595D00D2025602A6010100E8599A00C2022E023200A900A5591000
2020-10-1413:46:39站机接收<<串口外电网1-76|E10275026700BF00920764005D049E0000003F00640771005E04920000003D0061078A0066048D0000003400566F9F
2020-10-1413:46:40站机接收<<串口外电网1-76|01100000000241C8
2020-10-1413:46:40站机接收<<串口外电网1-76|02100000000241FB
2020-10-1413:46:41站机接收<<串口外电网1-76|02038C0000000000002710137B137B137B58DE590C58A04D224CB44CDB1781175B177300030001000100000000000000000000000000000000000027102710271000000000000058E100C500F50078008F00F658E30129019900CE005600D5588A007901070045008100FB00010000000000000000000000000000000000
2020-10-1413:46:41站机接收<<串口外电网1-76|0000000000000000000000000000000000EABC
2020-10-1413:46:41站机接收<<串口外电网1-76|01038C03DE034F064F17F2137B137B137B599E597759524D8D4D734D531774177817620930092B093701490149014A0114011C011F021B0219021B17E817FA17F5000000000000597100DA023C02C000EE0105598800CE023C021400A100A3591C00D0026F026A00AB009B0767005A04A00000003F006307720067049400
2020-10-1413:46:42站机接收<<串口外电网1-76|00003D0063078E00630489000000360056869A
2020-10-1413:46:42站机接收<<串口外电网1-76|02038C0000000000002710137B137B137B58E2592C58A14D314CCC4CD61780175D177100040001000100000000000000000000000000000000000027102710271000000000000058E000C400F30077008B00F958E90127019D00CA005700D4588D007A01080051007900FE0001000000
2020-10-1413:46:42站机接收<<串口外电网1-76|000000000000000000000000000000000000000000000000000000000000004BF8
2020-10-1413:46:43站机接收<<串口外电网1-76|01038C03D7034E064A17DC137B137B137B5988598259424D7C4D714D441773177C175F092C091F09360147014601490114011B011F02190216021A17D317D817EB000000000000598000ED022302C200DE0112597300D10244020F00A100AD592600
2020-10-1413:46:43站机接收<<串口外电网1-76|C802640271009700930766005904A00000003D0062076F006704960000003A0064078E005C04850000003400540C9A
2020-10-1413:46:43站机接收<<串口外电网1-76|02038C0000000000002710137B137B137B58F2593458A44D444CD04CD41785175E176B00030001000100000000000000000000000000000000000027102710271000000000000058DD00C400EE0075008A010658F6012301A200CC005900D45893007F0109005300730103000100000000000000000000000000000000000000000000000000000000000000
2020-10-1413:46:43站机接收<<串口外电网1-76|000000B338
2020-10-1413:46:44站机接收<<串口外电网1-76|01038C03D20351064917C2137B137B137B597D5986592C4D964D514D3E177D176D1764092F091709370147014201480115011B011F021A0215021A17C917A017DE000000000000597F0104021302B300E900FD594300EE026B021600B700AB593300C90252026C009A009007620058049B00000035006C0762006D049700
2020-10-1413:46:44站机接收<<串口外电网1-76|0000380063078A005E04890000003600541285
2020-10-1413:46:44站机接收<<串口外电网1-76|02038C0000000000002710137B137B137B58F4592C58AB4D394CCF4CCE1783175E176D00030001000100000000000000000000000000000000000027102710271000000000000058DB00C000F20077008F00FC5902011C01A200CD005100D3589C007701040058006C00F400010000000000000000000000000000000000
2020-10-1413:46:44站机接收<<串口外电网1-76|0000000000000000000000000000000000E55A
2020-10-1413:46:45站机接收<<串口外电网1-76|01038C03E10359065B17E0137B137B137B5977598059214D814D574D28177817761761094A092F0953014D0147014D0118011D01230220021A022017F117C217F0000000000000596100EE023E02A900FA00E1595000CE025F022000B9009E592100CB0260026A00AE00940762005B04
2020-10-1413:46:45站机接收<<串口外电网1-76|9A00000034006D0766006504940000003B005E078800660490000000350055F776
2020-10-1413:46:45站机接收<<串口外电网1-76|02038C0000000000002710137B137B137B58FA592358BC4D384CDC4CD9177E1762176F00030001000100000000000000000000000000000000000027102710271000000000000058E200BE00FD0078009900ED590C011F01A200BD004700D458A2006C01020059007700F300010000000000000000000000000000000000
2020-10-1413:46:46站机接收<<串口外电网1-76|000000000000000000000000000000000004BA
2020-10-1413:46:46站机接收<<串口外电网1-76|01100000000241C8
2020-10-1413:46:47站机接收<<串口外电网1-76|02100000000241FB
2020-10-1413:46:47站机接收<<串口外电网1-76|01038C03DA034C064C17E9137B137B137B599B5960593E4D734D714D4B176C1780176309300922093401490147014901130118011F021B0216021917E317EB17EE000000000000596A00D7024102AA00E700FD597E00A8022C021600B000A8591000B002720273009F008C0761005E04A10000003F0061076F0063049200
2020-10-1413:46:47站机接收<<串口外电网1-76|00003D005F078D00620489000000340054FBC4
2020-10-1413:46:48站机接收<<串口外电网1-76|02038C0000000000002710137B137B137B58FB592F58C74D3E4CDD4CE91783175E176D00040001000100000000000000000000000000000000000027102710271000000000000058E600BE00F70077009700FA591F012A01A200BA004D00D458A40077010C005A007A01060001000000
2020-10-1413:46:48站机接收<<串口外电网1-76|000000000000000000000000000000000000000000000000000000000000006655
2020-10-1413:46:48站机接收<<串口外电网1-76|01038C03DF0356065717E1137B137B137B599B596859404D8C4D644D3E1776177B175E0942092A094C014D0145014D0115011E0122021F0218021F17FA17B217F6000000000000596600CA024902B000C9010759910094021B0212009800AB590500AE0281027100A300920762005F04A400000042005E07780060049300
2020-10-1413:46:48站机接收<<串口外电网1-76|00003F005E079000600485000000330055C5D6
2020-10-1413:46:49站机接收<<串口外电网1-76|02038C0000000000002710137B137B137B58FB594258C44D464CE34CEF1781175E177000040000000100000000000000000000000000000000000027102710271000000000000058EF00BB00F9007A009A00F759
2020-10-1413:46:49站机接收<<串口外电网1-76|21012D01A100BA004D00D858A400780113005B007A010F000100000000000000000000000000000000000000000000000000000000000000000000F6A5
2020-10-1413:46:49站机接收<<串口外电网1-76|01038C03DD0352065317E3137B137B137B599B597459454D814D694D491773177A1761093C09250943014B0144014C0115011D0120021E0217021D17F317B71800000000000000596E00B2025002C1009E012159AC008C01FB020D006F00AA590300AF028D027900A200960765005F04A90000004A00570784005F049100
2020-10-1413:46:50站机接收<<串口外电网1-76|000042005F0791006004810000003300566C55
2020-10-1413:46:50站机接收<<串口外电网1-76|02038C0000000000002710137B137B137B5901594B58C44D444CE84CF2177F175F177100040001000100000000000000000000000000000000000027102710271000000000000058F500BB00F8007C009200FB5924012F01A100BC005000DA58A900770118005A007D01140001000000
2020-10-1413:46:50站机接收<<串口外电网1-76|000000000000000000000000000000000000000000000000000000000000000D58
2020-10-1413:46:50站机接收<<串口外电网1-76|01038C03D60348064517EA137B137B137B59A35987594F4DA84D6F4D4D177D1773175D09220919092901470146014801120119011D02180215021717E917E817ED000000000000597500BA024702C100A8012159A2008902050209006F00AD590B00A30282027C009600970763005E04A80000004600590780006304910000004100600790005F048000000033005719BE
2020-10-1413:46:51站机接收<<串口外电网1-76|02038C0000000000002710137B137B137B5903594858BF4D4C4CE54CE71783175E176D00040001000100000000000000000000000000000000000027102710271000000000000058F700BC00F4007A009101005929012B01A300BC005700DC58AD007E0119005B007E01170001000000
2020-10-1413:46:51站机接收<<串口外电网1-76|00000000000000000000000000000000000000000000000000000000000000D095
2020-10-1413:46:52站机接收<<串口外电网1-76|01100000000241C8
2020-10-1413:46:52站机接收<<串口外电网1-76|02100000000241FB
2020-10-1413:46:53站机接收<<串口外电网1-76|01038C03DB0358065617C9137B137B137B59AC599C59554DAA4D784D4D177D1775175C093E09260947014B0144014C0117011E0122021E0219021E17D6179B17EC000000000000597800D4023802B400BD010B598300A10226021800A000AF592300AF025D0280008D00900764005B04A10000003D0061077800640492000000420060078E005F0485000000
2020-10-1413:46:53站机接收<<串口外电网1-76|3500554BC9
2020-10-1413:46:53站机接收<<串口外电网1-76|02038C0000000000002710137B137B137B5913594758CC4D4F4CEA4D02177F175C1773000300010001000000000000000000000000000000000000271027102710000000000000590100BC00FB0085009100EF592D011F01A700C0004F00DA58BC007401150055007F010400010000000000000000000000000000000000
2020-10-1413:46:53站机接收<<串口外电网1-76|00000000000000000000000000000000000155
2020-10-1413:46:54站机接收<<串口外电网1-76|01038C03E0035A065A17D9137B137B137B59A7599B594E4DA84D804D3A177C177817590945092E094A014C0147014C0118011E01220220021B021F17DF17BE17EF000000000000597900DF024402A600CD00FD597900B30242021B00B400A6592600B20267026A0093008B0765005C04
2020-10-1413:46:54站机接收<<串口外电网1-76|A00000003900680770006B0499000000400061078D0067048F00000036005A361B
2020-10-1413:46:54站机接收<<串口外电网1-76|02038C0000000000002710137B137B137B5916593C58C24D504CE14CF01781175E176F00030001000100000000000000000000000000000000000027102710271000000000000058FE00BE00F8008B008C00EB592E011E01A600C2004E00D358C10072010F0051008200FE00010000000000000000000000000000000000
2020-10-1413:46:54站机接收<<串口外电网1-76|00000000000000000000000000000000007420
2020-10-1413:46:55站机接收<<串口外电网1-76|01038C03E40354065717FA137B137B137B59AC599959544D964D7D4D60177317771765093F09310940014C014D014B0117011B0121021F021B021D17E6181C17EB000000000000598500EF022D02A400C700FA596500C80267023200C600B6592500B002700266009D00960769005A04A000000036006E076D006E049D0000003F0067079000660491000000
2020-10-1413:46:55站机接收<<串口外电网1-76|34005D0D9D
2020-10-1413:46:56站机接收<<串口外电网1-76|02038C0000000000002710137B137B13865918592D58BF4D494CD04CF91785175A1770000300010001000000000000000000000000000000000000271027102710000000000000590000C100F60088008B00F1592F011E01A700C0005C00C858BD007901100047007F00F9000100000000000000000000000000000000000000000000000000000000000000000000C144
2020-10-1413:46:56站机接收<<串口外电网1-76|01038C03E1035B065B17DB137B137B137B59A9599559534D8C4D814D68176C1779176909440930094C014C0147014C0118011F0123022002
2020-10-1413:46:56站机接收<<串口外电网1-76|1B021F17E617C217EC000000000000598E00E9022802A900C300FB597300DA0258025300B400C1592E00B6026A026C00A4009A076C005A04A0000000380068077300680496000000400066079600600487000000320058F892
2020-10-1413:46:57站机接收<<串口外电网1-76|02038C0000000000002710137B137B13865918593158C54D4B4CDA4CFE1781175A1772000300010001000000000000000000000000000000000000271027102710000000000000590500C000FB007D009100EC5929011C01A700C3005800C158BB0078010E004E008100EC00010000000000000000000000000000000000
2020-10-1413:46:57站机接收<<串口外电网1-76|0000000000000000000000000000000000D021
2020-10-1413:46:57站机接收<<串口外电网1-76|01038C03E7035E066017E8137B137B137B59AF599459514D874D814D69176B177B1768095009370954014F0148014F0119012001240223021C022117FC17BA1805000000000000599400EF022202B000D000FB596B00EA025F026900AD00C6593C00B70261027600A0009F0773005B04
2020-10-1413:46:57站机接收<<串口外电网1-76|A000000036006A0779006404960000003D0064079C005E0487000000320056CEA4
2020-10-1413:46:58站机接收<<串口外电网1-76|01100000000241C8
2020-10-1413:46:58站机接收<<串口外电网1-76|02100000000241FB
2020-10-1413:46:59站机接收<<串口外电网1-76|02038C0000000000002710137B137B13865903593358BF4D314CE04CE117821760176D00030001000100000000000000000000000000000000000027102710271000000000000058FF00CA00FD0067008F00F05926012101A600CA005B00BF58B60077010D0054008700E40001000000
2020-10-1413:46:59站机接收<<串口外电网1-76|000000000000000000000000000000000000000000000000000000000000001E22
2020-10-1413:46:59站机接收<<串口外电网1-76|01038C03D90348064717F5137B137B137B59C2599559624DB94D774D5F177A177417600920092209240147014B014601120118011D02180217021717D7182917E1000000000000599B00EA021502AE00CB00F7596700F902580286009F00DF593A00B9024C028C00A400BB07720056049C00000034006607830058048700
2020-10-1413:47:00站机接收<<串口外电网1-76|00003D0064079C0054047B000000300053F690
2020-10-1413:47:00站机接收<<串口外电网1-76|02038C0000000000002710137B137B1386590F593D58BB4D4C4CD94CEF1784175A177000030001000100000000000000000000000000000000000027102710271000000000000058FE00C700FF0069009600ED5923011D01A500D0005700C158B10076010B0059008300E30001000000
2020-10-1413:47:00站机接收<<串口外电网1-76|000000000000000000000000000000000000000000000000000000000000001478
2020-10-1413:47:01站机接收<<串口外电网1-76|01038C03D60353064F17C4137B137B137B59C1599C59624DA74D854D6B1774177517650932091F09360149014401480116011C0121021C0217021B17D217A917D2000000000000599D00EB022202AE00D200FB597000FA024B027A00A000D7594A00B002400288009600AB076D0057049B000000350064077D0057048600
2020-10-1413:47:01站机接收<<串口外电网1-76|00003B006007930054047B00000031004ED2EF
2020-10-1413:47:01站机接收<<串口外电网1-76|02038C0000000000002710137B137B13865909594058B54D4A4CDC4CE41781175F176F00030001000100000000000000000000000000000000000027102710271000000000000058F900C600FC0070009400EC5925011D01A300DA005500C158B1006E010B0054008400E600010000000000000000000000000000000000
2020-10-1413:47:01站机接收<<串口外电网1-76|00000000000000000000000000000000004770
2020-10-1413:47:02站机接收<<串口外电网1-76|01038C03DD035C065A17C7137B137B137B59C159A3595E4DB24D6E4D64177B177217610948092C0947014D0144014B0118012001230221021A021E17E5179017E2000000000000599D00E4022702B200B50100597300D20253026300A000CF594300A802520284009600A7076B0058049C000000350064077A005C048D00
